MPI,lastName,firstName,birthDate,birthPlace,gender,value10
1001000000110,Zimmer,Andrey,18.08.1406,Erfurt,U,iErMGiRljhRvQfYJFOAAhgeSbDAwspOMIN6KDRiiFjNxoIjHAQoCATz+/7lUhkvIrREGJlpYJNDCAaE2j454oXhkLjgMwQUFEYhA5/KcpPoERDJkkCFKMEoipoIgEaqOHtOAkqV0MBoJJAoyCFOWJ1AKpEJ7It5GtBMyAOU=
1001000000127,Holsten,Cengiz,29.09.1013,Greifswald,M,blApDgPJEo4q3M6LSHLZTWbSyWbimGoSVAhqYlrPRCjQYChfEIiMwVEZeGEZuBtRmFMI8M5EMcSp5KnixhAKUEjqANUEpUB0SPyA/oQFZpmO4OwfsCh4KIh5g16QmKkZW8AuQPy4mA1ACGfAhCkWi0UJn8Ic6hqQhJjfKUw=
1001000000134,Hartung,Falk,06.10.2010,Zossen,X,JR84DAgEVLYQAIEZMyIHxnk4WXHwypAYg7QKQQyRGltYACGRkIAQFiiwdHwxKDBFH7ZAXDiQCNwSAhhDEHAbSQUl2lgfgTFU1kEEg1K8xGEMUEgR0jUIlIgghB4EQRvQv1BIEpEYtSMwSKAQTJDEkRQBCJYWMhiN9FZYBCQ=
1001000000141,Mans,Antoinette,23.09.1911,Siegen,U,BUKAPWWJigoMQeyjFalrwCGMSPCyHEoYWKBYzSofLmmREK3DCAgCGVkRBCcHUjAdzVsGqFdBBpV11aGgjQSCGPRpdIA1yRwhOJQVwfAkHHAQInDXmhl2IdpkHAgSESs2UMghcR50nyQYOCtIYECaqggACiFM+r77Fw0XCKI=
1001000000158,Moechlichen,Charles,01.09.1604,Dessau,U,oVGrfcSuqox+aSWOJGYe4mIyXJJJWoICUKx7jegKF1KUjDLzSMCAlUJbUkMfQUiNDWoIInlEAYgEDTT5BI8XDRF9N4EE7Cw3LLCsO+ps5Xg7JjBixCxCaIxJ2BwA2RA0t5hP2KBchQlqEGNlJVheyggIM5WjC0ZGSAJsGOI=
1001000000165,Stumpf,Hans-Bernd,16.08.1213,Luckau,U,sVHTuyRR0AZnUb0XPCGcRNWkbCQTnAoxqAXIrQiibHA1JQRbeCISFZgIfDEWgwlN5BMR9sAF5JA/DyiixTYJJU19DohlwASVCORQa5nkxswhRaXVhixeDEqCFxRMkRpfHlMsIBH8Cm0ohUgCAmu2U1VIdgc8YI7QtRAuHCE=
1001000000172,Paffrath,Hans Juergen,12.09.1009,Burgdorf,U,7c3+WUSJOb5MTKXbljgRxWeUb7KRlAPpWt8JzcqaHTa5JLtFPIAgXwsfE1O+IAoM34/J4khQwKYYh/cq6QUeQwltDgzu/YiyGF0Aw5ogdGgN/ehpgizhu2puGZgue9wXGZZbkjJUJglyGbmEcHseCzhEIwmK7OZAY0B0ECA=
1001000000189,Steinberg,Jobst,20.08.1806,Roding,U,kF+AH0TgFMAmVhVJjBMIhCUnb5CAPdi6rELo1YgMDGBRogb5gAAYDVqojlknopjFnaGEJk1IEIrAgx0wbTQPAI19jiOPwKDhS40Mq8KEjd8hTRDGgQHsAOisJZgUmTrfAWIAQanUKkZtQBKwyUh2ipsJjIR+YF/KlgAiqZA=
1001000000196,Eigenwillig,Uschi,08.09.1003,Borken,M,r2xbakBMgr5C3DbJOAIhqK9k/3+aqA82Ytcr+YocH2GgjqALDAMC2DOVqF0aoRsjGzaIoAk2QIZAjD8swRsuACAN0A6f4TRaGBaN4JiD5eAEdEgcyAmbaCJoNOoHmu8YMdC4GpA4F1NwGBMGIngGH4uKvjow3U4RdgZUOgA=
1001000000202,Bolander,Hermann-Josef,19.08.1602,Guenzburg,M,oU7Ao2Xkgk5Oxr+PWmMQrLaC7cBi1K4QuI4KATO2MOMl415juMuqhRj+/7HQzBIYs/UWqAhpbBiO3OS2oRdbJchlGmQlgOwFClyUf+RE6e2I5TidrQVDPopIgx7lkIraWMu0WZq87c/CjS7uGxuWz1wIpBx8bCoLPIjOH7E=
1001000000219,Kruschwitz,Valentine,01.09.1511,Kloetze,U,l3RrX4TMgq6kWA2aJYMp4bV4W5rhmtgqaCGJ9cL4Z+yQLivzigBqH78xRicvkwgwThINvGsuGoQBp84j7b7ODihY95EH0SDyKDILt7yxjDEoIHnKwi10uRJu0Q+TfwCG1o0b6cJdGhKoE6UJ4kLSphoQbiAl7lbgRopMo6I=
1001000000226,Mende,Inna,12.09.1411,Jena,M,5FBIjCWJki4DyU8bEIWDQLIaCAGhuGog2YkKwaKQEK2RAKOTAYAIiBk7DYOogBoQK5JdqguAoAYAhCErCwIKnQgpMCAlQaFgqJCA4bMIMJAJKkmwggkoKBxsgYqIGYAlFIIgUXDwgwhIHQMKwC2CCsABqyFRqNoRFZhHCKE=
1001000000233,Marguaf,Dimitri,01.08.1009,Dinslaken,X,JXgwocTItpaWQxn5EDIL5LMD//+SHgiQY1sbwWScOdGwSriRqgB2ERIzgBczkFARm3KCIFhwAhSAxpxi1zZfoFQJerEfozA1TJ02stxh6DIdd8ASrCVQgBjw1lCo0SG4OtATGnIYhxEwZDERcBDCmoKBLlIxenYFdJ5/I2A=
1001000000240,Trub,Alicja,07.08.1409,Schmoelln,X,icBBiERcJ4SGyTCojMQYrOckqul4piiya6CLuQerr+qRJSaTgbiAkpILIjUiwAMFovPEMyOAhZgDz3ysDyKclx5ISpkdIDAi6F1EIppMqScsJBMChqEGzEDyli6Ak4tKJtgIAGAYAQQo5ONMZBuqjgADn4rkO9IRQoZW6cI=
1001000000257,Sorgatz,Margita,08.11.1068,Wolfenbuettel,X,H1Aoi0VAlILuQD/ZGJRLhlFs2IPAHHtJb4nK2Tx07W8RQzWVghIaAeE4HlsBhBlUbThDYRnyE4XDpVB1l4yP9CQFPpB+gSgkeawn3tikxDUEhmsU2B0ElsiwFl+2Veu5GtB0z9Y9/dcAcKVIyEfykQZhnBKs6DIV8Fgi87o=
1001000000264,Maelzer,Guenter,02.08.1802,Kusel,F,wFeqCEDskajCaBAYoIAqiBUS/aEQOIU4uoAYJyANwnQMoA7BIAsaBcL+/xcoyDhrGVeqpC4IglgYgqNmAaTNAAgEKIqsAAEiG8RoiKaC0F9Exi4aqJgYDMjIGBokmqh+MEKIhSsQqo4gQLIIAAuaujiIroj4brKIFhgCCig=
1001000000271,Wohlgemut,Tillmann,07.09.1310,Dinkelsbuehl,F,h+0felWpBFr47ZPnjeCp4CTnjPjRiAui8NWZcVGG1QHwjiiJqbNSg7odkIU3hQnL+7aGMGAwQN3IjfanBJy3BAEsDLq0pz86CT0gmLobaJQVvOIU+RCCGoboU2Z1tJ/yPZglW7q8z+oxeP8caHvHgpTKw7Dt+n4IsAZUoqM=
1001000000288,Karge,Gunther,05.10.1607,Saarbruecken,U,h9zwOWWikRoERj9fPHFxbbcWXkDQ/JAY4tZaXVASVjkkLj/ZwAhQVTD+/zclLxAVH1VEoNL6EqXtHVJ6FQSnDFxNXKlH4T41gi0Eq/CHbsEAdnrcnmV0BvAmDl5gUQ1WFFJM2jN+DYcagFIkIFpW8zSISSYUVBbnfHwWUoI=
1001000000295,Doerr,Frederic,20.09.1505,Seelow,M,hGyBAASJD2y0w8YUEcUwYGYGzRFmRgqI8Fg7JbKghPvQLIy7CGBIlen//1Px4UIlvkPAuAG4MggixHUhJArbslwNGqIcAAgEkjyFaZA2pNEbYNiDkJAkIKLABRxgMKpGSNZhIABQMxd4KKHAhWgSjxDU25DFCAO4RAgHGCQ=
1001000000301,Stolze,Heiner,24.08.1008,Kaiserslautern,M,pcCYBUVJkpdP5HKDcGUZTkcn7fCynMoQIPAq2wqNFyIQILaJchORvzL+/xc2kkIfmFHEpCNYAZRXn7pyFzufCiwJSoKvSTEQaUyksbpGqFoEdEquozQMI5inVBJCkfUeONLk1eRUjZ86TJBIRBgea5M0rKA+e7qqXgYbGvo=
1001000000318,Geisler,Leif,09.08.1508,Schwabmuenchen,F,o32G3CVIgapGTFgFnHIwrK3k7EBiLCg1eMY4+RidVCGDpi4noMmEkCr//xcCrRktQ1/AICVkI0AZBsuwpTINkEydWQPNSDimOLUViYZVwsqB7RQagCGkBhDCBaBguI1agMoMILDajY0MAOkBCAs2ipWIFkoukI4hMoyOMNQ=
1001000000325,Rogge,Miodrag,27.09.1713,Plauen,U,AccBWBHJlYBKVmQDXAHCSCUkWnfSHBhQ0FcZpTK8FGGaTDDLwLEAUwSNIEcFNtiRhVciJEq0dNqJRaEiVB1TGEBtd5AP4BhFgryEeZgERlMNdoDTiUXIqzpCFQZMsQ80U8IAQhDctZE5QLMBIEsWiBUIKiAXOF5V9kVHVKA=
1001000000332,Henk,Franz Josef,30.08.1804,Spremberg,F,JdpDmwXY1s4OWr0ZgmIARuuELJJC/i6y+NULJYCKfAJqwh4juIGICAsKoxc8iAlNiPPYKnouCOKj/OsibzcbwswhsgS9iIgWjuYQTYJk7P8/zUAXmUnuuurKB5zg2AgKGlZIw2MYCB9SgQ7Gx6IWTzkBjszsMgMQPQIOInA=
1001000000349,Weiss,Sergio,12.09.1805,Nauen,X,wcqgA0VJHKxOYAdNGNEERDU0bsFBZBIQb8eqnB5cDGWQqAUHyABUFGNDIgdAJzBFCzuBoCMogIKhxSCgRSQLgAwJXpKf7LkgfpwEV6gVVPoVaAQSwQ2EoknSDRhAmYkXSMYAEjEQQ4YI8aMRQAmeip8B41MGGJIBMwQGEBI=
1001000000356,Thanel,Abraham,05.08.2010,Gunzenhausen,X,JY050QFlB5pCxZOJOwMdaFOgefGQcIsQ8/UL2UWbWFdZGGpCwAgJnFo4QBUgzzAdnfCCGABYFax4DbjGCSgOgy11Wlx8gTF5egBFm5qu2ctclEAbIuWIvuqgnFYHgRtbcskJdDhJqYI9cO4IQhCFuTFZ9P4gfhgJUIyaV6A=
1001000000363,Haering,Kristin,07.10.1107,Ebersberg,U,rcWZnEUAk1YJYA0DJoEZZWQ4THCRuEAEmBsY3EmSFzkwqrTJGrDMARS4fFM2IEJcXDEMYEUYEtxAgVpiIwQb4U1YTthlxQBUKG2ogbARZHgQWOjngRRIEAhsRp5lFRbeHQII0SBcGhkQAARNRVueiR0iSUgdtB5AFghei9Y=
1001000000370,Reuter,Rena,30.08.2012,Bitterfeld,U,qdTp2FH9BJiGGlcNFqZABEVA7xmDkDgasMGAJxCExHJZIoDjkAmAAdD+/xJ8gLoYnAFJNkyGQ6hAwQkSS4eOhAhlLJwk6EIUKpAoewAhpFENRAF+kChJCKiIgRgmiehPAlsQgExuoBXoQapAAHETmxFgFCHmNl1YmRQcHmw=
1001000000387,Gierschner,Gregor,15.09.1606,Lichtenfels,M,i2GvaAYtgyijwhaPluRmvWdG/MCgeIsoTeUK9IpRxnOFKxuFLQgArfn//xvgixJ4SVMA4QBnkZj9hq1zJZLshKgdHJEswVY1YLyJ6MAMLWQE4V0Y10swJGnxEUUiNOiTkNMsN7WUSzk4WOlhiAMSq1EK9o7JTYMj1EgGWMQ=
1001000000394,Beier,Mattias,02.10.1311,Rathenow,X,xVySCmBEjrrKQkmNGKKjgEcYzoGxCVwHC/A6+Wy8fW0UImDpqEFCoVD+/wsA6/oA2T0GpkSS0MYoBlA0AB1KA0wjepaXTaqwaLYRqpyykkAFVuCSqAkBkBrkCRhMVQp2HAI6UDCQoyV4QCQI6hm+y5uNCJJkzPIhlGgyULE=
1001000000400,Junitz,Ruthild,18.08.1505,Mainburg,U,l/tC24BogHDOSTeFBkE6gC8FT4NgeBvgoAOIfeEgPCgzbhPJioIZDXEog3OkoYFnprAIJOnoECLjpckkOYUcYClkJiFUyIAWEKFDZ5vwzLEVDihPkiB1AUgCI5ahM0qvEcL8+ZN9y1sIAaAWhVoThaJM5DssOEZ4NMQJ8zE=
1001000000417,Schueler,Waldemar,05.10.1028,Lichtenfels,U,jlu/9kQkgRLNQncDFOVNpUdm/MGQdgcoYzuKxak11uMvKybzCYMaB9j+/zGFxRFVf1UCaXBRcR1zgzx3Bbb2oA1ZX6Ekw3AwGMVJs9QuBeAU0WV468VUJkHgF3UgV+IXmJsMNZX0B4cwcOAgAFNagTEK5orFTTdFdEJQUkI=
1001000000424,Etzold,Heinz-Walter,09.08.1410,Vechta,M,vPGahQFIE7YLxzOxRCFRDzaurXGxslsU8fGq0QuNGiCauDYTEZGQhlL//zMQgBMAO1eV4KURGAdRnvGigyJKw8kNC5v9QSKxilPFop4pqfO091m6ggUkNMnuhYcC0KBLGMMyGavRvBEaHLMAYB8Wz5EC5whxK1NBLJGWC0M=
1001000000431,Fiebig,Klaus-Dieter,05.08.1806,Feuchtwangen,F,oXvbSEFwy6IDR9YptB1AgXViLlgAboM9fpAI5Uodymu4+UvxIcHgMFL//11gqR1pSVOK6GVphN5xQJdyASxJFMxN2I2dyFJniIANkuCEov8gxdgegMlyBO2ABVI9mmuPCVvNgPuwB2oB2AIwGDZSqXEIzrw4eIoL1QcKXvI=
1001000000448,Sorgatz,Anna-Maria,05.10.1805,Northeim,X,tVoSg0TAnrZsRYfOAJUlpRPmOBvQ57qVc52K1Q6qXGgRGLUzhMgqwRsYDo8hjQFMmjDG4hXYFobhpzByzyQOpGRgShBegaE0aKwFpviFQJsc9MkSqEQEsHvgFdym0QtSWoAeUnUxNh8ReC1AwDjymAoJ0EJMajIUUGhyXSA=
1001000000455,Hentschel,Milan,13.08.1009,Leipziger,F,J0Eem0HskJ4CS/SKgIqr5bDAHEHUjAs4cJQNYaKmVVnNjTiPNMOEkApdkhc+1Vge+FIKoCkQBsTaDr6mSxbPIMg9JMT0hUQ7mNQJmvgChSAE9uRWyIgQPcpolxghXAoqHciLFKbwjvkyBGlgNB4GxzEIZ5csbGLE/QBdVeA=
1001000000462,Reuter,Stella,05.08.2008,Kyritz,F,iY+SwFTlgJgmGHJEtgUYABQENwGUzHA48dAQcQiMVnBdrxzJqEkQAUL+/xRpwZgMEBPEFCTZTEhgAZtCDyQpDEwsKdCMCEAWOgQIMTAHkM8B1EkPEMAMpciElXspwChLAEsAlWsALN44EAoAFB4TmThBTyBs9EgYbQxSXgQ=
1001000000479,Zorbach,Elfriede,25.08.1510,Eggenfelden,U,T2kZEiTkEjKmQlUTVKhpZUF23Wmw+prUeZkIZ6eQ1Ou5j7jHsGAoMaoxExe055IxHzTG6dJxo4Rfw1VqK56a6qhBXrtVbRqQcf4cg5gyjyOElOHewclgMFiqtcEidaFMFNQBfrX8F6MYArBQAHESgTKCVuKodI9h1RwRSLA=
1001000000486,Harloff,Tassilo,11.09.1008,Ochsenfurt,X,J1s5yoxchb5Owh2JNKABZeAIfImSoori65qKyV6ZPFmRhSs9mgAChDeRCdGR5TKG/fuFoTJSBATBjLDihTBKQVVPGphdZSU0aHj19vLo4eokd2VygA3J7ErkRAkp0ZgcOskgnDUxBUGQVKM5QBPGCQpprhooqjMFkgkegNA=
1001000000493,Ruppert,Leila,16.09.1202,Bad,F,g1eSxEwN0CByQJWFgAQCBHQITxIlDDYg0MWocjolQGCVpStrsEEQRBstQEUYQchLUBdBpCiARHhEtookDwVJBZl9GReVQGRyI5EBcYQkBFUF8CURxCCRJIhCQR4lEhhDgIocEEkxcE5IEVEAEAzXA5EIFhdIDNoaBcIUlAA=
1001000000509,Hoffmann,Meral,02.08.1208,Burg,X,8EycYEDFpOROQ9ULAgACxCWSbWEhig9B+38LAWSPGmR1IjDhmIAKAwoqUfMQwAAI8yWHYCJAxIgQhuAmIzVcRAzlKpRchCEiStQUR7QIkeMFRyBXqgjJ6urAARAk0Uh/TUIY0CBRog1CQSpkURuSCRBBBQNt7rIIhRBKFDA=
1001000000516,Fiebig,Imre,08.08.1705,Brilon,M,IUpAaFTBQoJGwnKHkV0BQGclbFAASstRKlgKOSKJEHgXSQwZIBEEtSKBKl9YoQMxEhaA6AqEwBYgwCE/AynIHDBAUbQdgVJHmBSEoZCUo8JhJRiGki0HIR6AJ3IMlKsMEVF0wjAQBzdJWIkQjHwCi0AR3eJxPJoGxgcDWOQ=
1001000000523,Hoffmann,Margarethe,23.09.1908,Roding,U,NNIYc0HJkMRGQvXjFJNaxCPjfiAAmRpD9MKLRWCPHTCQEhXzkIAaAQoJUvNXkIGZZGOCZFZBgrCAzTViITQNXNDpvqFfxDA3Gd0cJ/gMnAIxZzjXugVyQdrAMRAQ2Qg/WcoIwKBVllkrCCl4YUhySaBBHyRmamfEjBFvIbY=
1001000000530,Binner,Natalja,03.10.2011,Bautzen,U,r0Wx3EGFgpZwACzDFo8JYBUqTcGckugR2rwAzQiSFmtRIiFCxIEAG5D+/+YkExABXxlFemOwSJxCB5gCQy2GDihFfgQB4TVRKhAlpzhgzHEoUEHagiXRkZklxRgGAwFWcso9lVJsMZh4ECBIQHuTsRoAbABA/j5bFkxYkJg=
1001000000547,Weimer,Helmar,22.08.1811,Eichstaett,X,7tOgC0RwhWYKYXsJBKBNhAU4HAHh4BIEK8iq1RzkXGwY4D4xkBIbBRj+/1O5wAJAOWEOYFBKlpRrCQDjg5xKqBwLbRq9QXEgeMxokvADuPAc1GAQza1IhshgFoQaWaqenkcIR4Ew1oELcLIIQEveQ/MjjUoh5LpEPA1IKOo=
1001000000554,Adler,Frederike,01.08.1912,Bautzen,U,gUehdMRBAoByYzUTFIMgYFUgb0CXMgqQoNkIhWL4BPMRIqdjyEgMEwv+/3XloBAZt9HBqEIRbpgCxUsiDS+IqohVf6UfwBhEihgGc8jmlEMJZMDakCVzpNCB1QAmkQtfos59WLJcM5JIMaEJAHITiRgANKvgHkZJFUweFOw=
1001000000561,Wilms,Hedwig,05.08.1212,Delitzsch,M,Ik0CoxBDK+y74XOCJosupCIir5OR6Aoi8sHbzQqM3GAYDxKLkGGSgIriClkxoQJiHEjxoEJSiApjiWJjgSqbDDgNJIofiEjiimqAtYABoJM1dEgGwEAipsqqCVgNkqLLGVEhACswIkcDKYAky7IvyxooxBmx6AoIXw4iXkI=
1001000000578,Loos,Camilla,08.08.1205,Forchheim,M,A1wQiOBJm6hqwhOEJEcEBVcQ7TAB7iu0oREriQoMMEghXSIZjMgAyCo4KFOItUMD+lzBqATMHAjhk6C0IyAqFmAdSIBcCkgvvoSBsYCfoMM3ZE2GqAAAdLChCboPkIhJGMhqQHY4IEMJCeOAMkoKnhiJxPsiiIIadQEDHeA=
1001000000585,Winkler,Gernot,06.08.1712,Heiligenstadt,F,oEWaz0RRVY46TRGDsCvAjYwkLwQByEA+sIe5LT6cVGsa5n+7MBmThBL+/z1cqDpJGRWfZDMCHPiIJYaiyyRLINkVHQGfypCij2bp2dUl4n8lxASfwoHADoqsITRgmp7buMuLAbkwbStQMSsASgNXyRAIjsMp/B/PkwsKD4I=
1001000000592,Kusch,Isabell,02.08.1410,Erding,F,TfEaSAFkmP9KSRIRrIEJIDBxf2GQuA1lvZMIYYAY3kRMiijXKQEUAQoaIBUywwqLOTSMIjIYhMTQgp4uCTpvmQAJn6yMQSDyOAEJgbS7maIRnWiO4ogQIETilLI4mJmMEEKA1KBQMsx5BAYTgxEjiLJDL2Z+1s6JZxYzJhE=
1001000000608,Benthin,Gerhild,28.08.1204,Rothenburg,X,h9/ajkDJhkhOThWLGkMw2KcGXwEBAlNuuweKCUwyGPMzZhgJiMjABHAuF3ssi50SmTUdpq1AQqjIhsA0IReYUC1lWjZUzKCwUhRBa4rgzFE1RDi/owlXiNCsITolGUxfE8L8+bI0bUNoQTImVVq2FzJJTRssTFaZFQpgehA=
1001000000615,Riehl,Sandra,10.09.1508,Strasburg,U,hGlAkDbMBuIOY5QFFkUhIiSMbvDkHDuC+F8JZQMaBADxyrVjqAJQKWtZATMmoMisjjfCpFiwpkSSheEiJ6warQRpl4QMwQIhODwA6aBUpQIRZOFHgQjkquroBRgksRkOGNAkffZ0yy5IFK2PAVuSiVASZoC+KN9yBAg3hDE=
1001000000622,Geissler,Guenther,25.08.1102,Berlin,U,l9Sg31XMkEpWTHwZJIAxyBdNzcCSWA146sY41UgURHgN5jpjCAiUVQL//x8syAgJHEVMoUpAYqzYDaBlgz3OgAhVXSel4TCwY1UEiYYBjEEgTGRIh0jRCMBqBFgEH41OkNoYAI5ULpRCABhZAFq+W7MYXFB01AbIXhwAeNA=
1001000000639,Luebs,Tatjana,29.08.1009,Melle,X,LkBwgErIjJqKwJC4gIRDrGCI24HQiSMh5zgLySyKmUiTDCCDhACIhIoZohMikCAYWLpFNoCQoIQSjrSigxSuRIU46JoUqSiSaPAhhpwIjoCMtkeCgYSAuA7gGdkAk4gucM1plNSwpEAxYvkY6D2KiVoDhpKg6FIQAMLcuLA=
1001000000646,Henschel,Sibylla,01.08.1113,Goeppingen,X,IVuricR8hKwG2TqJsI+ILJFNPumipikTL6aK6caYLMldCxx/mEgwMIJIJhVbyZiFyXHrqq6uBAC4GB4mx3YtBJwJWbQ85HQQeEUdWoImiaaMRYEewKkdrMqo1Ggbm5kIH1ABHPD4C+UDQCYZUAiSy7EtrhYs9paxvQwOJIA=
1001000000653,Adolph,Dittmar,14.09.1407,Uelzen,X,Q9DBAOQIF4z6x2eJVKUciDcCvcEwow5RT6A7EUYRqEuZQYWfgwhCNYv//4UzELEBoXIGqlkIBIQi7AFiSSbbgwRJW5wUQDjIaBUGUtKuKDEXYSAcmAdD9EDShpACUYPQNtQhUnAYFSAqdKMBYCDKljIJIhqFenIlEwYWQmI=
1001000000660,Roskoth,Nermin,16.08.1507,Herzberg,M,5ODYDkVQ0uQKwjeHRkdyVD4gT8AghNpBsDUqMVqyICk8anUFuIKQjjCIXBcwssKpMiUspEkgCLAGlOQiaxS5JSggClgkxhWVNGmAY9U06NEZdS6PvkBgPAlOgxQCMJpKWcosYyE4aBGZGaVU7yoSrzEQxQwk/Ncw84BFHlI=
1001000000677,Fechner,Claudius,05.08.1904,Kehl,U,gXqoeEBMjorqQhaApFEIslYSfpgIXgskaDgrTchIV2LAeRfZCEHACwL+/3VugwEBDBuNKmhNBdBgwYRmAa9vCK5Vjpg8SEs1qQIcGerEzs5CREpOwlhSJMiFmVuHsQk/G8JAgejeaWJgQEKctGJarjgIXqpgS8ZAVCrCW3A=
1001000000684,Henschel,Carlo,01.08.1007,Pinneberg,U,JFP6GcHsEN4qSbUIRoYJZCRTfOOQkilAoJEpXcCIlEhoSjxRmACQgSKYihu/4SpIPGSMoHoUBISYiXzi7zbfAEhFZqxs43A0emlps/Aq7ap6deDn4KxYKMjp2hgI+YhsGsgCX6JcDpESAOLVDfJSy7sApqAkdpZEGiAeLFI=
1001000000691,Zorbach,Sabine,23.09.1808,Neubrandenburg,U,Q8oIVgd/E/TuRdeDFq0scHEU/YCEvthF8rcIBYWbFGGxQl9XCCgQCVIJF1cF35x0x3bMYNPrIYQdxcYoby84WTRJn5FdSjGROtUYQbg2/hIx5DLf2kFUuXHGNBAy09nMTNhk27P2XccIkifUQ1ITqxBS1qAsODZLFQYXUrE=
1001000000707,Rudolph,Elwira,01.03.1019,Guben,U,z1Oh8oQgEIqqVibBVCed6EUC70GqOjhWWFUpZEgwFSEZoixviCsCFQI4IDUXSZIxDRBEpMCvABRI6Q4mTgUPBIhxVoguwxSMOAIM+8kmjChbAEFamKfLqipi1coQk4kWM0EAD3BembIqAKBbJkAahCMKoIBAFsZRE4xMhwM=
1001000000714,Hesse,Marion,02.08.1603,Nuertingen,U,YVKJU0VkgqRKUDVPHQkK5RETfkBLmIyQfKyIZTqaBWUMApHTmIGSFQIDepc1xxAZTVWCIFNug4KESRR2wyTPrIhXdSA9ZJ0jKs0EVcSE3CoAV7zXjQ3IAp3CBIRy0YE8WcIFUjD9h9ULkCJwBElW6YcIxTRueKZXPwxGMOA=
1001000000721,Weiss,Annemie,01.09.1412,Meissen,U,AdRoEoFJmowaZ5WTNAIDwzGiTcERf5IQ2eOpHWgfFWmhjCDDLYgUvSohIIcHElBZvRtBtEoAxAiBBaThDSwUzWBtdIKF6jsBL5QEE7oNjAEdagfS6inIAtpg3QxCGYNnPsQCSTRcoSgoJekRIFgeqpkYo/NSOsZJVxZdAbM=
